CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark
0.07022638,0.04885867,-0.01697466,-0.03797929,-0.03340386,-0.01837501,-0.03558288,0.01569224,-0.00253437,-0.05981679,-0.01357192,-0.03244522,0.00177238,0.00247983,-0.00676929,-0.00904998,0.00046168,-0.03541881,-0.02333306,-0.05595566,-0.04423318,-0.04921066,-0.04709001,-0.00228996,0.03057048,0.00778675,0.03189754,-0.01329305,-0.03083602,-0.08402552,-0.06597989,-0.08168234,-0.06906921,0.02532802,0.07863186,0.0104423,-0.01915439,0.04627414,0.06832097,-0.09224044,-0.12743938,-0.06571475,0.00392567,0.00092072,0.12734069,0.01131942,-0.02630804,0.00826251,0.08382856,0.01358528,-0.10556117,-0.06085756,JUNK
0.07121201,0.04950749,-0.01670187,-0.0385709,-0.03325921,-0.01592523,-0.0344572,0.01788332,0.00064817,-0.05714128,-0.01148556,-0.03169557,0.0027633,0.00405258,-0.00613637,-0.00764477,0.00314568,-0.03483505,-0.02132592,-0.054346,-0.04245503,-0.04730754,-0.04545963,-0.00064606,0.0335479,0.00989636,0.03285387,-0.01101639,-0.02924609,-0.08260863,-0.06478992,-0.07937378,-0.06774335,0.02708762,0.08113456,0.01315368,-0.0176099,0.04802635,0.07315265,-0.09018868,-0.12755357,-0.06412517,0.00547773,0.00233433,0.1315763,0.01461505,-0.02456859,0.00958496,0.08725134,0.01633331,-0.10554138,-0.05914578,JUNK
0.07209023,0.05006762,-0.01648494,-0.03921671,-0.03318422,-0.01376459,-0.03356353,0.01984313,0.00369741,-0.05467578,-0.00952401,-0.03102545,0.00362832,0.00544804,-0.00567758,-0.00639385,0.00547269,-0.03446532,-0.01932441,-0.05285044,-0.04082267,-0.04537022,-0.04384179,0.00077574,0.03610095,0.01166898,0.03355288,-0.00910262,-0.02776882,-0.08111717,-0.06365789,-0.07686964,-0.06623922,0.02863014,0.08327822,0.01513704,-0.01673751,0.04936311,0.07749248,-0.0880967,-0.12762012,-0.06260784,0.00704797,0.00367058,0.13525903,0.01737779,-0.02357615,0.01044896,0.09041005,0.01886707,-0.10551436,-0.05747648,JUNK
0.07289047,0.05056485,-0.01632379,-0.03991129,-0.03317593,-0.01188286,-0.03288195,0.02157295,0.00661665,-0.05241489,-0.0076838,-0.03043417,0.00437237,0.00667431,-0.00537823,-0.00529555,0.00745639,-0.03429312,-0.01732964,-0.05144829,-0.03932869,-0.04340656,-0.04224975,0.00199153,0.03826082,0.01313432,0.0340242,-0.00752657,-0.02639494,-0.07955062,-0.06256695,-0.07420865,-0.06456404,0.02998258,0.0851028,0.01647166,-0.01644228,0.05033355,0.0813647,-0.08597948,-0.12763396,-0.0611679,0.00863006,0.0049425,0.1384684,0.01965996,-0.02321129,0.01093305,0.09330428,0.02119522,-0.10547768,-0.05586599,JUNK
0.07364031,0.05102159,-0.01621633,-0.04064733,-0.03322747,-0.01026232,-0.03239113,0.0230826,0.0094071,-0.05034664,-0.00595738,-0.02991815,0.0050047,0.0077456,-0.00521744,-0.00434276,0.00912075,-0.03429668,-0.01534635,-0.0501217,-0.03796239,-0.0414263,-0.04069493,0.00302548,0.04007213,0.01433022,0.03430214,-0.00625185,-0.02511402,-0.07791442,-0.06150373,-0.07143484,-0.06273513,0.03117518,0.08665562,0.01725001,-0.01662166,0.05099478,0.0848071,-0.08385368,-0.12759657,-0.05980832,0.01021403,0.00615939,0.14128922,0.02152468,-0.02335064,0.01112012,0.09594365,0.02333103,-0.10543237,-0.054327,JUNK
0.07436367,0.05145624,-0.016159,-0.0414155,-0.03332837,-0.00887924,-0.0320621,0.02438722,0.01206832,-0.0484545,-0.00433419,-0.02947167,0.00553752,0.0086804,-0.00517031,-0.00352313,0.01049859,-0.03445124,-0.01338248,-0.04885614,-0.03671079,-0.0394407,-0.03918744,0.0039064,0.04158867,0.01529915,0.03442356,-0.00523478,-0.02391553,-0.07622073,-0.06045832,-0.06859681,-0.06077646,0.03223816,0.08798786,0.01756971,-0.01717187,0.05140814,0.08786597,-0.08173636,-0.12751292,-0.05852996,0.01178678,0.00732617,0.14380547,0.02303983,-0.02387552,0.01109183,0.09834591,0.02528982,-0.1053834,-0.05286918,JUNK
0.0750806,0.05188291,-0.01614709,-0.04220574,-0.03346511,-0.00770441,-0.0318711,0.02550883,0.01460011,-0.04671798,-0.00280133,-0.02908645,0.00598491,0.00950046,-0.00520897,-0.00282029,0.01162887,-0.03473051,-0.01144735,-0.04763979,-0.03555898,-0.03746115,-0.03773482,0.00466619,0.04286991,0.01608541,0.0344253,-0.00442782,-0.02278867,-0.07448474,-0.05942383,-0.06574111,-0.05871872,0.03320121,0.0891517,0.01752668,-0.01799436,0.05163565,0.09059533,-0.07964414,-0.12739079,-0.05733144,0.01333378,0.00844457,0.14609665,0.02427317,-0.02467856,0.01092397,0.1005356,0.02708976,-0.10533714,-0.05149788,JUNK
0.07580637,0.05231068,-0.01617527,-0.04300736,-0.03362178,-0.00670536,-0.0317916,0.02647251,0.01700274,-0.04511328,-0.00134429,-0.02875277,0.00636261,0.01022934,-0.00530376,-0.00221433,0.01255507,-0.03510819,-0.00955057,-0.04646232,-0.03449017,-0.03549729,-0.03634177,0.00533867,0.0439781,0.01673253,0.03434194,-0.00378213,-0.02172228,-0.07272287,-0.05839488,-0.06290989,-0.05659374,0.03409317,0.09019846,0.01720912,-0.01900098,0.05173708,0.09305547,-0.07759,-0.12723774,-0.05620941,0.01484057,0.00951487,0.14823577,0.02528834,-0.02566944,0.01068303,0.10254351,0.02875278,-0.10529878,-0.05021369,JUNK
0.076551,0.05274404,-0.01624069,-0.04381241,-0.03378449,-0.00585185,-0.03180262,0.02730443,0.01927517,-0.04362039,0.00004885,-0.0284623,0.00668302,0.01088678,-0.00542944,-0.00168743,0.01331765,-0.03556196,-0.00770362,-0.04531956,-0.03349099,-0.03356148,-0.03501382,0.00595131,0.04496793,0.01727695,0.03420239,-0.00325558,-0.02070913,-0.07095502,-0.05737124,-0.06014397,-0.0544374,0.03493417,0.09116945,0.01668863,-0.0201205,0.05176271,0.09529752,-0.07558755,-0.12706456,-0.05516087,0.01629083,0.01053152,0.15027808,0.02613576,-0.02678023,0.01041961,0.10439682,0.03029551,-0.10527691,-0.0490168,JUNK
0.07731964,0.05318321,-0.01634123,-0.04461396,-0.03393989,-0.00511506,-0.03188835,0.02803061,0.02141807,-0.04222031,0.00138898,-0.02820678,0.006957,0.01149061,-0.00556287,-0.00122219,0.01395506,-0.03607222,-0.00591651,-0.04420932,-0.0325487,-0.0316642,-0.03375414,0.00652779,0.04588832,0.01774916,0.03403014,-0.00281152,-0.01974301,-0.06919848,-0.05635367,-0.05747436,-0.05228325,0.03573963,0.0920988,0.01602048,-0.02129869,0.05175447,0.0973695,-0.07364625,-0.12688033,-0.05418112,0.01767013,0.01148783,0.15226533,0.02685456,-0.02796467,0.01016965,0.10612255,0.03173421,-0.10527823,-0.04790371,JUNK
