CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark
0.0354361,0.1038964,0.38055354,0.29291368,0.20120852,0.17828779,0.12279584,0.25464985,0.12022237,0.08115107,0.00806523,0.16408193,0.17775549,0.07023702,0.04393969,0.30068308,-0.26276541,0.09875485,0.1521786,-0.00929819,0.02876167,0.02556435,0.17057012,0.04849122,0.13840684,0.06471632,-0.16678004,-0.11479933,0.13830188,0.0289746,0.03219895,-0.02941427,-0.00091146,0.06690282,0.10396217,0.0088976,0.15678515,-0.09222994,0.13925891,-0.0022809,-0.01317946,0.12755468,-0.0194084,-0.00576143,0.03408614,0.12598503,0.15333682,0.13403849,0.17973523,0.01181751,-0.01318063,0.08649949,JUNK
0.03821697,0.11027274,0.39988634,0.30094564,0.20831023,0.18796475,0.13852881,0.27850577,0.12672894,0.07864609,0.00704641,0.17583816,0.18427964,0.07458048,0.0461756,0.31430241,-0.27120513,0.10486914,0.151521,-0.01317949,0.0209557,0.03289111,0.18389668,0.05225191,0.13865787,0.06399982,-0.1691286,-0.12245556,0.13986056,0.02947354,0.02510536,-0.02627563,0.0056942,0.07236448,0.10204666,0.00738241,0.15980504,-0.09634993,0.1392177,0.00033541,-0.01146347,0.12943771,-0.01767219,0.00086195,0.03470495,0.12779891,0.15111913,0.13397089,0.18250218,0.01094905,-0.00939765,0.08931515,JUNK
0.04093958,0.11651136,0.41845277,0.30815327,0.21507767,0.19733731,0.15435718,0.30215502,0.13276637,0.07539383,0.00566492,0.18721433,0.19097322,0.07815632,0.04820222,0.3272298,-0.27870789,0.11034714,0.15023793,-0.0175435,0.01283301,0.03985473,0.19704315,0.05545731,0.13784745,0.06293479,-0.17079337,-0.12996009,0.14017361,0.02938296,0.01757262,-0.02328115,0.01220138,0.07750852,0.09870201,0.00489426,0.1618783,-0.10042705,0.13772842,0.00235366,-0.01010882,0.13048756,-0.01642863,0.00710572,0.034486,0.12819877,0.1474853,0.13275962,0.18347681,0.00909989,-0.0061928,0.0914518,JUNK
0.04344636,0.12230594,0.43540624,0.31422833,0.22131915,0.20617655,0.16956258,0.32474944,0.13797469,0.07154319,0.00398614,0.19783476,0.19750366,0.08099066,0.0500949,0.33948919,-0.28500408,0.11504377,0.14840566,-0.02213888,0.00470407,0.04628149,0.20950493,0.05817743,0.13612163,0.06178531,-0.17153199,-0.13701521,0.13936704,0.02889607,0.00992453,-0.02034918,0.01853842,0.08239529,0.09416141,0.0015939,0.1631338,-0.10438304,0.13502063,0.00391958,-0.00911413,0.13082369,-0.01556339,0.01290951,0.03352488,0.12726854,0.14256971,0.13051705,0.18263863,0.00649295,-0.00353813,0.09297147,JUNK
0.04556695,0.12732428,0.44984001,0.31883404,0.22680703,0.21421799,0.18337381,0.34538051,0.1419913,0.06724131,0.00209517,0.2072994,0.20347451,0.08311751,0.05190567,0.35103378,-0.28982395,0.11878677,0.14607127,-0.02669759,-0.00313207,0.05200391,0.22073655,0.06049084,0.13362305,0.06078842,-0.17113195,-0.14331353,0.13757557,0.02821959,0.00249432,-0.01738335,0.0246451,0.08707685,0.08870421,-0.00233079,0.16368474,-0.10814144,0.13133851,0.00519388,-0.00844757,0.1305714,-0.01493222,0.01823393,0.03193384,0.12511301,0.13652945,0.12736054,0.17997894,0.00337759,-0.00137283,0.09394741,JUNK
0.04712935,0.13122912,0.46084601,0.32163221,0.23129413,0.22117707,0.19500974,0.36313045,0.14447369,0.06263503,0.00009704,0.21520676,0.20845278,0.08457681,0.05366272,0.36174688,-0.2929211,0.12139044,0.14325847,-0.03094437,-0.01039415,0.05687162,0.23018493,0.06247932,0.13049546,0.06014633,-0.16943061,-0.14855424,0.13494392,0.02756591,-0.0043822,-0.01427152,0.03047165,0.09159343,0.08265076,-0.00666405,0.1636287,-0.11162859,0.12693904,0.00634641,-0.00804537,0.12986271,-0.01436644,0.02306555,0.0298453,0.12186648,0.1295511,0.12341653,0.1755172,0.00002199,0.00039584,0.09446725,JUNK
0.04797104,0.13369951,0.46758044,0.32231152,0.23453063,0.22676489,0.20372215,0.37711698,0.14512359,0.05786402,-0.00189137,0.221177,0.21199593,0.08540712,0.05536389,0.37144631,-0.29409939,0.12266372,0.13997087,-0.03461206,-0.01683383,0.0607569,0.23731986,0.06421533,0.12687322,0.06001056,-0.16633776,-0.15247412,0.13161838,0.02714066,-0.01038262,-0.01090198,0.03597542,0.09596332,0.07634267,-0.01117983,0.16304117,-0.11478939,0.12207554,0.00754224,-0.00781623,0.12883204,-0.01368485,0.02740956,0.02740133,0.11768404,0.1218458,0.11881543,0.16930442,-0.00330365,0.00188469,0.09462829,JUNK
0.04795053,0.13445251,0.46932432,0.32061687,0.23628402,0.23070857,0.20884359,0.3865501,0.14370945,0.05306039,-0.00374672,0.22487712,0.21368264,0.08564769,0.05697803,0.37990072,-0.29323253,0.1224276,0.13620165,-0.03745313,-0.02224378,0.06356233,0.24166991,0.06575739,0.12288577,0.06047917,-0.16184773,-0.15486193,0.12774685,0.0271325,-0.01521056,-0.00716673,0.04111881,0.10018131,0.07013158,-0.01564495,0.16198061,-0.11758719,0.1169937,0.00893362,-0.00764482,0.12761416,-0.01270709,0.03128835,0.02475113,0.11274643,0.11365301,0.11369471,0.16143338,-0.00633924,0.00322852,0.09453694,JUNK
0.04695676,0.13326329,0.46553689,0.3163735,0.23635516,0.23276752,0.20982552,0.3907752,0.1400824,0.04833961,-0.00535279,0.22604057,0.21314056,0.08532872,0.05844676,0.38684326,-0.29028821,0.12052197,0.13193783,-0.03925662,-0.02647313,0.06522,0.24284878,0.06713852,0.11864402,0.06158525,-0.15605353,-0.15558676,0.1234673,0.02769906,-0.01861298,-0.00297743,0.04586372,0.10421146,0.06435259,-0.01984238,0.160482,-0.12002136,0.11191216,0.0106445,-0.00740227,0.12633532,-0.01126846,0.03473122,0.02203563,0.10724507,0.10522731,0.10819013,0.15203382,-0.00885449,0.00456874,0.09430099,JUNK
0.04491714,0.12998074,0.45589826,0.30950525,0.23459502,0.23275214,0.2062764,0.389314,0.13418882,0.04380595,-0.00660184,0.22448657,0.21007472,0.08447815,0.05969638,0.39199749,-0.28533182,0.11682708,0.12716959,-0.03985538,-0.0294241,0.06570073,0.24058378,0.06836882,0.11425181,0.06330588,-0.14914109,-0.15459952,0.11891364,0.02896351,-0.02038702,0.00173477,0.05017215,0.10799413,0.05931746,-0.02356773,0.15856868,-0.12211697,0.10702699,0.01277106,-0.00695129,0.12511501,-0.00922633,0.03777559,0.01939151,0.10139012,0.09684009,0.10244224,0.14128476,-0.01065245,0.00604864,0.09403084,JUNK
0.0418032,0.12453958,0.44033757,0.30004564,0.23091543,0.23053741,0.19798765,0.3818965,0.12607576,0.03954817,-0.00740218,0.22013198,0.20428815,0.08312005,0.06064293,0.39509836,-0.27853119,0.11127344,0.12189426,-0.03913607,-0.03105599,0.06501527,0.23473425,0.06943282,0.10980144,0.06556382,-0.14138368,-0.1519403,0.11421149,0.03100833,-0.02039064,0.00701447,0.05400608,0.11144691,0.05529632,-0.02664261,0.15625249,-0.1239293,0.10250353,0.01537574,-0.00615616,0.1240611,-0.00646884,0.04046242,0.01694311,0.09540008,0.08876684,0.09659147,0.12941253,-0.01157877,0.00780402,0.09383552,JUNK
0.0376322,0.11696587,0.4190414,0.2881411,0.22529715,0.22607294,0.18494797,0.36847815,0.11588956,0.0356372,-0.00768735,0.21299843,0.19569519,0.08127421,0.06120052,0.39591569,-0.27015263,0.1038507,0.11612006,-0.03704628,-0.03138828,0.06321035,0.22530052,0.0702909,0.10537332,0.06823453,-0.13312811,-0.14773977,0.10947461,0.03387038,-0.0185523,0.01287378,0.05732546,0.11446955,0.05250381,-0.02892332,0.15353981,-0.12554127,0.09847089,0.01848252,-0.00489239,0.12326495,-0.00292548,0.04282973,0.01479311,0.08949329,0.0812766,0.09077419,0.11668082,-0.0115305,0.00995492,0.09381713,JUNK
0.03246701,0.10737643,0.39244655,0.27404431,0.21779017,0.21938823,0.16734749,0.349244,0.10386872,0.03212654,-0.0074158,0.20321059,0.1843297,0.07895906,0.06129528,0.3942751,-0.26054427,0.09461436,0.10986651,-0.03359612,-0.03049254,0.06036986,0.21242534,0.07088412,0.10103908,0.07115956,-0.12477116,-0.1422063,0.10480609,0.03754216,-0.01487134,0.01929948,0.06009132,0.11695299,0.05109213,-0.03030238,0.15043533,-0.12705447,0.09502443,0.02208185,-0.00305336,0.12280068,0.0014327,0.04491296,0.01302379,0.08388336,0.07461952,0.08512068,0.10338781,-0.01045543,0.01260177,0.094069,JUNK
0.02641315,0.09597456,0.36121497,0.25810659,0.20851476,0.21059236,0.14556484,0.32460085,0.09032929,0.02905016,-0.00657835,0.19099149,0.17034476,0.07618993,0.06086768,0.39007136,-0.2501196,0.0836845,0.10316882,-0.02885766,-0.02849109,0.05660686,0.19638664,0.07113918,0.09685544,0.07415501,-0.11673878,-0.13561833,0.10029345,0.04197076,-0.00942146,0.02624418,0.06226548,0.11878588,0.05114012,-0.03071758,0.14694537,-0.12858936,0.09221892,0.02612832,-0.0005592,0.12272122,0.00658952,0.04674062,0.01168803,0.07876635,0.06901418,0.07974918,0.08984557,-0.00835678,0.01581687,0.09466937,JUNK
0.0196125,0.08303764,0.32619536,0.24075665,0.19765434,0.19986908,0.12014646,0.2951594,0.07564764,0.02642633,-0.00519423,0.17664951,0.15400553,0.07298491,0.05988472,0.38328111,-0.23933102,0.07124525,0.09607653,-0.02295653,-0.02554331,0.05206073,0.17758246,0.07097752,0.09287024,0.0770292,-0.10945617,-0.12830117,0.09601097,0.04706721,-0.00234194,0.03363933,0.06381672,0.11986651,0.05265683,-0.03014636,0.14308459,-0.13027053,0.09007578,0.03055098,0.0026412,0.12305878,0.01249,0.04833694,0.01081435,0.07431927,0.06463929,0.07476538,0.07637471,-0.00528561,0.01964387,0.09568042,JUNK
0.01223407,0.06890142,0.288369,0.22247384,0.18544331,0.1874657,0.09177324,0.2616916,0.06023601,0.02425175,-0.00331547,0.16055934,0.1356706,0.06936073,0.0583403,0.37396485,-0.22864319,0.05753144,0.08864688,-0.01606981,-0.02184264,0.04688536,0.15650432,0.07031893,0.08911335,0.07958996,-0.10332479,-0.12061264,0.0920117,0.05270763,0.00616488,0.04138936,0.06472097,0.12010592,0.05557632,-0.02861441,0.13887225,-0.13222736,0.0885776,0.03525314,0.0065625,0.12382104,0.0190398,0.04971745,0.01039764,0.07068263,0.06161748,0.07025208,0.06327939,-0.00134153,0.02409395,0.09714402,JUNK
0.00446377,0.05394087,0.24879237,0.20376348,0.17215469,0.17368022,0.0612196,0.2250901,0.04451986,0.02250734,-0.00101925,0.14314169,0.11577282,0.06533684,0.05625752,0.36226618,-0.21850692,0.04281971,0.08094327,-0.00841203,-0.01759977,0.0412438,0.1337107,0.06909215,0.08560189,0.08166089,-0.09869356,-0.11291563,0.08833116,0.05874405,0.01584749,0.04938635,0.06496604,0.11943849,0.05976915,-0.02618591,0.13433813,-0.13457911,0.08767736,0.04012172,0.0111857,0.1249937,0.026116,0.05089251,0.01040705,0.06796126,0.060013,0.06627087,0.05083736,0.00333925,0.02914884,0.09908167,JUNK
-0.00350571,0.03854962,0.20853437,0.18512712,0.15808438,0.15884411,0.02930936,0.18631737,0.02891343,0.02116013,0.00159713,0.12483885,0.09479467,0.06093642,0.05369076,0.34840533,-0.20932899,0.02741404,0.07303181,-0.00022137,-0.01303166,0.03530089,0.10979477,0.06724069,0.08233962,0.08309162,-0.09583812,-0.10555661,0.08498628,0.06501456,0.02642048,0.05751296,0.0645545,0.11782749,0.06505132,-0.02295855,0.12951986,-0.13742922,0.08730328,0.04503727,0.01645942,0.12654382,0.03357541,0.05186966,0.01078882,0.06621946,0.05982814,0.06285831,0.03928498,0.00859317,0.03476222,0.10149401,JUNK
-0.01148563,0.02311833,0.16861644,0.16703422,0.14353411,0.14330316,-0.00313204,0.14635356,0.01379694,0.02016109,0.00442068,0.10609073,0.07323832,0.0561822,0.05071707,0.33266318,-0.20145324,0.01162569,0.06497556,0.00825072,-0.00835477,0.02921079,0.0853508,0.06472486,0.07931119,0.08376177,-0.09494975,-0.09885118,0.08197103,0.07134833,0.0375755,0.06564499,0.06350316,0.11526453,0.07119243,-0.01906373,0.12446002,-0.14086583,0.08735849,0.04987567,0.02230256,0.12841843,0.04126157,0.05265104,0.01146428,0.06547196,0.06099882,0.06002066,0.02880027,0.01423577,0.04086151,0.10435878,JUNK
