A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
1150.000,295.300,94.690,27.910,1248.000,313.200,104.900,28.380,211.300,53.090,15.380,5.427,329.200,85.260,21.610,7.466,baseline
1148.000,296.400,95.560,27.940,1253.000,314.800,105.300,28.530,210.700,53.360,15.490,5.444,332.600,85.510,21.830,7.555,baseline
1145.000,299.700,96.150,28.280,1251.000,315.200,105.600,28.420,212.900,53.600,15.610,5.487,334.300,86.150,21.760,7.502,baseline
1142.000,294.800,94.250,27.490,1250.000,313.100,104.700,28.220,209.900,53.260,15.460,5.423,326.900,84.340,21.200,7.336,baseline
1142.000,293.300,94.150,27.450,1251.000,314.500,104.700,28.330,209.400,52.970,15.370,5.435,325.500,83.630,21.320,7.403,baseline
1148.000,295.700,94.560,27.740,1256.000,315.600,105.000,28.400,210.700,53.230,15.440,5.483,327.800,84.330,21.440,7.474,baseline
1137.000,295.800,94.370,27.660,1257.000,315.400,105.400,28.490,212.200,53.210,15.470,5.491,328.400,84.960,21.410,7.493,baseline
1142.000,297.500,94.520,27.740,1263.000,315.200,105.500,28.570,211.300,53.410,15.520,5.508,329.900,85.270,21.610,7.554,baseline
1150.000,297.200,94.930,27.900,1263.000,316.800,105.200,28.560,212.000,53.550,15.600,5.517,332.000,85.490,21.800,7.621,baseline
1146.000,296.300,95.200,27.550,1258.000,313.800,104.500,28.170,213.000,53.520,15.570,5.487,326.400,84.320,21.360,7.338,baseline
1131.000,293.600,93.090,27.230,1255.000,312.500,104.100,28.080,210.100,52.970,15.290,5.396,322.500,83.230,21.090,7.262,baseline
1133.000,292.500,92.940,27.250,1252.000,312.400,104.600,28.130,207.200,52.960,15.340,5.367,325.400,84.140,21.170,7.348,baseline
1143.000,292.800,92.700,27.230,1253.000,313.600,104.200,28.150,207.500,53.020,15.360,5.438,325.100,83.730,21.240,7.336,baseline
1137.000,292.600,93.080,27.250,1248.000,314.000,104.100,28.230,208.800,53.090,15.440,5.393,324.900,84.010,21.070,7.344,baseline
1140.000,295.700,93.650,27.430,1251.000,313.400,104.400,28.300,209.100,52.730,15.310,5.384,325.800,83.640,21.120,7.299,baseline
1147.000,295.500,94.550,27.820,1259.000,313.400,104.500,28.280,210.200,52.740,15.290,5.362,327.700,83.710,21.200,7.270,baseline
1136.000,291.600,93.120,27.100,1254.000,312.900,104.100,28.120,208.400,52.390,15.200,5.316,321.400,82.790,20.810,7.179,baseline
1135.000,292.400,92.960,27.070,1254.000,312.500,104.800,28.210,208.900,52.170,15.230,5.325,320.700,82.440,20.890,7.244,baseline
1137.000,292.700,93.740,27.210,1251.000,313.700,104.600,28.290,208.400,52.600,15.260,5.369,320.600,82.820,20.800,7.223,baseline
1135.000,293.400,93.510,27.270,1256.000,314.000,104.600,28.370,207.100,52.450,15.290,5.367,320.200,82.570,20.830,7.206,baseline
1143.000,294.400,93.410,27.450,1261.000,315.700,104.900,28.480,207.800,52.520,15.270,5.375,321.500,82.880,21.010,7.268,baseline
1147.000,295.400,94.370,27.520,1266.000,317.400,105.400,28.530,208.400,52.470,15.300,5.396,322.500,83.520,21.140,7.326,baseline
1157.000,297.600,94.860,27.770,1263.000,316.200,105.500,28.470,209.800,52.590,15.430,5.426,327.500,84.020,21.270,7.377,baseline
1146.000,293.700,93.620,27.340,1259.000,315.700,105.000,28.320,209.400,52.540,15.280,5.381,319.800,81.860,20.690,7.135,baseline
1144.000,293.500,92.970,27.050,1259.000,316.300,104.900,28.350,208.000,52.300,15.180,5.378,317.800,81.570,20.650,7.164,baseline
1144.000,294.000,93.060,27.180,1262.000,315.900,105.000,28.440,206.400,52.490,15.240,5.381,318.200,81.950,20.810,7.137,baseline
1146.000,294.700,93.060,27.140,1265.000,316.700,105.300,28.420,207.900,52.400,15.360,5.364,317.900,82.100,20.720,7.194,baseline
1148.000,296.000,93.640,27.240,1266.000,317.100,105.600,28.570,206.700,52.530,15.420,5.437,319.600,82.340,20.980,7.290,baseline
1152.000,297.300,94.030,27.420,1272.000,317.700,106.100,28.710,209.900,52.970,15.360,5.444,322.300,83.330,21.080,7.382,baseline
1152.000,297.700,94.630,27.690,1274.000,320.400,106.400,28.750,208.700,53.220,15.550,5.488,323.400,83.380,21.240,7.430,baseline
1157.000,299.400,94.900,27.900,1274.000,320.300,106.500,28.700,211.000,53.270,15.510,5.529,326.000,84.550,21.330,7.388,baseline
1156.000,297.300,93.850,27.310,1271.000,318.300,105.300,28.560,209.700,53.020,15.460,5.485,318.400,82.490,20.740,7.218,baseline
1157.000,296.700,93.170,27.180,1270.000,318.600,106.000,28.570,207.200,52.730,15.360,5.439,315.900,81.880,20.710,7.219,baseline
1151.000,295.900,93.560,27.240,1278.000,319.200,105.900,28.660,208.000,52.600,15.350,5.456,316.800,81.820,20.910,7.256,baseline
1151.000,295.800,93.630,27.300,1272.000,318.900,106.100,28.660,209.800,52.640,15.370,5.464,317.100,81.860,20.890,7.265,baseline
1159.000,296.100,93.700,27.260,1272.000,320.400,106.600,28.710,207.000,52.870,15.420,5.453,316.500,82.220,20.910,7.305,baseline
1155.000,296.600,94.230,27.620,1273.000,320.500,106.900,28.890,209.300,53.140,15.500,5.483,319.300,83.430,21.190,7.330,baseline
1170.000,301.300,95.010,27.810,1281.000,320.400,107.300,29.050,209.300,53.440,15.580,5.504,321.000,83.890,21.350,7.440,baseline
1165.000,301.900,95.910,28.150,1279.000,322.100,108.000,29.110,209.900,53.730,15.660,5.541,324.600,84.390,21.520,7.458,baseline
